"ID/ activity"	"body_acc_x_mean_mean"	"body_acc_x_sd_mean"	"body_acc_y_mean_mean"	"body_acc_y_sd_mean"	"body_acc_z_mean_mean"	"body_acc_z_sd_mean"	"body_gyro_x_mean_mean"	"body_gyro_x_sd_mean"	"body_gyro_y_mean_mean"	"body_gyro_y_sd_mean"	"body_gyro_z_mean_mean"	"body_gyro_z_sd_mean"	"total_acc_x_mean_mean"	"total_acc_x_sd_mean"	"total_acc_y_mean_mean"	"total_acc_y_sd_mean"	"total_acc_z_mean_mean"	"total_acc_z_sd_mean"
"1"	"1"	-0.00244800092900692	0.148990928403234	-0.000608444513720002	0.109746467301525	0.000152585794185897	0.0924686176716117	0.00701159829690236	0.274648557888663	-0.00620030657596179	0.422295404544931	-3.0373967639544e-05	0.197084287081911	0.86004178169502	0.147423061857621	-0.065005003095498	0.107474687440429	0.0657183101253813	0.0884417923322344
"2"	"2"	-0.000919666025230712	0.129564615033995	-0.0010459644809652	0.099283695062629	-0.00242546496240335	0.0768741769862301	-0.0247814387533587	0.25366800254993	0.0078999585138691	0.214102447012543	0.000410346385856312	0.178978741806953	0.802104521390439	0.128044723839177	-0.13002462953511	0.0976490610947884	0.124585567017919	0.0747519661382206
"3"	"3"	-0.00085462628054912	0.123772539627233	-0.000376554668814246	0.0905623333968451	0.00059957008398591	0.0653168605746626	0.002914398356633	0.263583657495661	-7.73413213104847e-06	0.183421669971072	0.000157011084402676	0.142860167740801	0.835430787536886	0.122954448522196	-0.00834713102603556	0.0878630474438878	0.0423380767911321	0.061598296172077
"4"	"4"	-0.000699160629111048	0.129686378713829	0.00122211495470362	0.0854522232909408	0.000259716549520948	0.0552698796420829	-0.00130662631302556	0.261724040830428	-0.00197916382614003	0.15646508597455	0.0041535724273051	0.13468168359324	0.834722528661283	0.127131707196862	0.131726982353046	0.0816626357288356	0.156030733976731	0.0521881870020226
"5"	"5"	0.000330181960289205	0.161371126376923	0.000867968726465879	0.103765940608415	0.00087404866148184	0.066608438918682	-0.00183250663980965	0.254271692122044	-0.00139612903050583	0.227350001567512	0.000130084885436103	0.192681135346413	0.829783480971852	0.159466847420361	0.131095100800502	0.100574099981324	0.085918207458069	0.0633119832267482
"6"	"6"	-0.00107144449328263	0.162217474004597	-0.000226353432821784	0.109629030092116	-0.00253929465814224	0.0619203826198134	-0.0161780440744341	0.303171911436281	0.00168248784168298	0.288121511926221	0.00485974409306462	0.195915383096416	0.821697530383154	0.159686483122201	0.0340143795670017	0.10757513060847	0.0386353328330207	0.0595061026409414
"7"	"7"	-0.00151759223322829	0.138684040936176	-0.000866670586535598	0.0792213808290028	-0.00138238767044836	0.100772069910865	-0.0249553514775295	0.274126282137454	0.00439379696921545	0.268098200252136	0.00506074298648843	0.165202397871783	0.816008863165823	0.135814239931998	-0.024780219281935	0.0761402947050442	0.0267181432841726	0.0966833048188421
"8"	"8"	-0.00140479087026871	0.136916395117443	-0.000551442943642988	0.11287820196297	0.00049485528365486	0.0930392510972335	0.0322455528139986	0.301065791987933	-0.00755715214959193	0.330462893885077	-0.00984587449238813	0.238775787325997	0.792224303783429	0.134259015006721	0.0477870602226151	0.108601325242273	0.0771794886895268	0.0882588384515924
"9"	"9"	-0.00149654226559494	0.145786993033649	-0.00199760810698299	0.0741845452935483	0.00233676681174743	0.0918452977578661	-0.0437879071293606	0.283446608214488	0.000609954299583658	0.25425033363219	0.0100734043221686	0.20189646837899	0.808644089987396	0.144166616277835	-0.03062775704051	0.0716121477483799	0.0993632202733306	0.0884132665388313
"10"	"10"	-0.000149880541551206	0.151586128241244	-0.000365918926809014	0.08759160961161	-0.000989004030247763	0.0723032804471373	0.00946005828391429	0.285664391581644	-0.00465082251854255	0.314852534176514	0.00207738892490632	0.196771400952534	0.790231380214982	0.149817150568987	-0.0562418303758445	0.0848130918492336	0.0477375902467745	0.0693435292515752
"11"	"11"	-0.000204113560180736	0.13479879782484	-0.0010433080359641	0.0887919520049146	-0.000209476241732521	0.0632129950340575	-0.0279061962636113	0.228176678515579	0.00727438802329231	0.228985558724182	0.00042104278701471	0.135339316840629	0.852143379285008	0.133903005182502	0.0696845243858703	0.0866472936262084	0.132053753257262	0.0608611416486811
"12"	"12"	-0.000817530657948169	0.136590406163967	-0.000628917028084937	0.0833833651943179	0.000547877085660644	0.05710407378456	-0.0362946748786253	0.23866156911967	0.00683411098036138	0.204825031840924	0.00431145648304072	0.161465875550273	0.8293915894559	0.135116523736432	0.0473656844860957	0.0815053743693549	0.0274823892666703	0.054606591978048
"13"	"13"	-0.000346192522061227	0.123307650459404	-0.000268721229032397	0.0958921924302691	-0.000273405037128741	0.0772571397785358	-0.0294678832882445	0.249783390073369	0.00572404755701383	0.273211889353569	0.00554709961334471	0.174888056278905	0.837482474780438	0.121674235838327	-0.0242458544750048	0.0931366926554521	0.0377378858175688	0.0741556951410265
"14"	"14"	-0.00152317751109599	0.127587705283583	0.000463321300919937	0.108548173312646	0.00241865493718909	0.13007307632413	0.0288040785416788	0.237982623548272	-0.00955031856323908	0.462117941982039	-0.0113575485398323	0.309911295859717	0.809491342598442	0.124030696161123	-0.0930416250003473	0.104684750422588	-0.161501059448159	0.124960134147755
"15"	"15"	0.000131405972310928	0.14549957524507	0.000353348320204125	0.0902781379924673	-0.00140591198752949	0.0559507625238018	-0.000467198376262138	0.265675968304635	-0.000695049192915959	0.224945693229922	0.00191776858384814	0.136883437140294	0.823020924748952	0.144240342267537	0.120940032157655	0.0875709797413342	0.0297152186176772	0.0531480463488686
"16"	"16"	6.42302020183828e-05	0.109233825834507	0.000672092767061159	0.0615330329978509	0.000344781195914831	0.0742737631154682	0.0159247848563063	0.176265810385762	0.000855544344510331	0.147364325151027	-0.00589456097031662	0.129231653157067	0.831464067649633	0.107646354976374	-0.0417195846050162	0.0590691889911102	0.0343332894597767	0.0715481770749133
"17"	"17"	-0.000730807172255753	0.128632551357351	-0.000211614850862114	0.075701953626018	-0.000294734309911052	0.064065702923629	0.0134139929692773	0.211553836934312	-0.00377969162007125	0.18200939864493	-0.0041195093824971	0.137409252314252	0.829276728032439	0.127461624870752	0.00412662101227857	0.0735451007202211	-0.0232175694531734	0.0621490624858297
"18"	"18"	-0.00025793319961614	0.100638398360368	-7.60544116439685e-05	0.0654330017450476	6.45446674347356e-05	0.0566899976481079	-0.0100293497167686	0.171912400062142	0.00294346401084366	0.172444514503183	0.00199497172716284	0.125366528594068	0.842426968058894	0.0999838535223835	0.00221746448559624	0.064111539945696	0.0829756554994624	0.0546682306498273
"19"	"19"	-0.00161820317575693	0.139613068869639	-0.000558604530337924	0.0859466558014619	-0.00329334286404856	0.0661154901540625	-0.011239137722525	0.317114190347697	0.00279806047108717	0.274637522800357	0.000897645668433984	0.173752645463486	0.67024655875615	0.138115919818035	0.113780736370028	0.084393652751752	0.220168237120098	0.0642405700842149
"20"	"20"	-0.00188564008835212	0.129804978565542	-0.000237680216107852	0.109469639355486	9.1997552446085e-05	0.068704671435947	0.00353340083431661	0.276363511222731	-0.00207932752627322	0.328368329320105	-0.000311907150386017	0.231083837894387	0.777982847640881	0.127859400232881	-0.019440977219166	0.107424224022763	0.0999458543651095	0.0664527214093297
"21"	"21"	-2.25121086036879e-05	0.107881460953601	-0.000277102061166226	0.0759445538976942	-0.00015553789914164	0.0624401461061058	4.14779262115885e-05	0.179193608162339	-0.00186583121177665	0.181863399176667	-9.36195737349167e-05	0.146656969946866	0.792388609649586	0.106106848373564	-0.057223115083745	0.0744159753863586	0.0259491842213335	0.0599985880505189
"22"	"22"	-0.000578690290923082	0.148895197735362	0.000163015488931114	0.0886537370149865	-0.000119826892534998	0.0650535612345122	0.0202851605828421	0.266494762339744	-0.00931283173469564	0.167322771412916	-0.00225372884977169	0.169503412127616	0.766100464595376	0.146833636459277	0.049688776960609	0.0865785055076089	0.226168522613609	0.0623604173150244
"23"	"23"	-0.000841326786460433	0.124038818147955	-0.00128563594753018	0.0816684864842372	-0.000259760884228499	0.101836064356911	0.00576094897234351	0.214403549445436	-0.00372838858849206	0.384510724889387	-0.00515079850499778	0.191183202837956	0.803273288688151	0.122097934932944	0.0313724695964446	0.0792768846643589	0.0451860305607461	0.0993652382508851
"24"	"24"	-0.00016666126455424	0.106862790502058	-0.00028538323004952	0.0730565971033986	0.000129868710256562	0.0683971296799959	0.00661823931233557	0.19658645574162	-0.00176291134390069	0.183158886921714	-0.000955444387722802	0.143456586567719	0.827043046305881	0.105521254868698	0.0906292343650015	0.0711405833563088	0.0558515435753306	0.0662628396398581
"25"	"25"	-0.000468688677052921	0.0936050168425886	-0.00114554788581414	0.0817808089909122	-0.00043650912905029	0.0664911993586153	0.0254674760360793	0.277629980595574	-0.00431671110834713	0.191659527253457	0.0057659819967428	0.124496066553175	0.810761812611977	0.0922250318334161	0.0640107576632633	0.0829282943528357	0.229132349002904	0.0640021373247278
"26"	"26"	-0.000935438200832246	0.123874094918509	0.000508476685938576	0.0724627097222071	0.000221243735269958	0.0560813235068571	0.00723485923007002	0.204880967821929	-0.00379349855759042	0.154597436793768	0.00241323830094358	0.145831325214292	0.769797923455636	0.121920783877398	0.127131831447525	0.0701429260139511	0.224759504941007	0.0543649649072149
"27"	"27"	-6.41318079439365e-05	0.111568386085219	0.000178981003137799	0.0648619211879734	-0.00083928317607148	0.059995529793842	-0.034255092985117	0.179471160547471	0.00863328605843958	0.153546193191135	0.0100088644444584	0.159978981887253	0.779231123448277	0.110349734511183	0.0504363378995312	0.0633321784595468	0.132366216203342	0.0582284150891813
"28"	"28"	-8.90472153868214e-06	0.115446325761943	-0.00106685374442376	0.0745665205856636	-0.00046354498731614	0.0595268583795495	-0.0379757814443546	0.227868007651324	0.0122770178329499	0.200061436894293	0.00642087078960861	0.16207984715352	0.776837852887885	0.114554473903802	-0.130402935750867	0.0725011794136141	-0.0521692605622006	0.0572980885663059
"29"	"29"	0.000316490121902421	0.139731179671492	-0.00069959457248557	0.0703387602050647	-0.000121556388399891	0.0737987448643137	0.0180400338053611	0.232724777784213	-0.00629785460491947	0.281754628661572	0.000809865760140825	0.140738823626215	0.819100724769713	0.13836572360479	0.132700181180323	0.0685968332998916	0.198972354443821	0.0706874045890079
"30"	"30"	-0.000261707473529027	0.126216723598222	-0.000234695171607086	0.0838945962656638	0.000797469181736456	0.088872322996472	-0.00799093870762539	0.288189502977548	0.00116989100628972	0.354921601742386	-0.00127392305658563	0.200818763443746	0.828275386194978	0.125412935476439	0.069026105221577	0.081162149096687	0.176431591681148	0.0841004696726505
"31"	"lay"	-0.00183970770502193	0.0141117568475628	-0.000618701590130533	0.0113842223157523	0.000288059457322774	0.0123649901255741	0.0112927953676627	0.0296583904664144	-0.00861057781488487	0.0301879147597537	0.0175054787412647	0.0198611861455573	0.0686513676712731	0.00915546226593595	0.638922768743245	0.0101478282860746	0.540777627266945	0.0102642205430235
"32"	"sit"	-0.000930691546224769	0.00679695618261468	0.00233333809974004	0.0128579063762574	0.000921860034107262	0.0139992981827593	-0.0110936366639314	0.0182248772523865	0.00100167979825334	0.0274966188365103	-0.00378664530174801	0.0225251178700878	0.956936367105286	0.00524268341486692	0.12896543915837	0.00847629947287329	0.146514987924501	0.00998707237886919
"33"	"stand"	0.000325139675886998	0.00647579311415102	0.000517310207636884	0.0132630888363887	0.000568426911721241	0.0138317037861653	0.00101870473843132	0.0491331936884805	0.00299229085265617	0.0316417774789706	-0.0027398783430838	0.0229872590968384	1.0018614361986	0.00571934717851737	-0.165441301252369	0.010912730715729	-0.0187652214134165	0.0106655224567304
"34"	"walk"	-0.000255311301474141	0.224092481239826	-0.000403181860946456	0.168534678621051	-0.000189631439948855	0.133601822319277	-0.00727378875197233	0.463301091001297	0.0022210590363123	0.501188056913331	1.32135316123195e-05	0.322514786822047	0.996692553375027	0.223752176567405	-0.178813059476049	0.167745002873551	-0.0586093435116383	0.132301257375068
"35"	"walk_down"	0.00217651409689613	0.359060582608335	0.000433367646172942	0.182736026265981	0.000841051656299504	0.14854920556668	-0.0581264680924628	0.581815717936529	0.00963782872221092	0.507534521942613	0.00369359252352707	0.354296966626842	0.993088908964296	0.358310224550701	-0.149805794943722	0.180989888532239	-0.0518255703706332	0.146196122414332
"36"	"walk_up"	-0.00314914345871147	0.24899780499135	-0.00460791608298357	0.169824517625538	-0.00404016136826714	0.151310567630176	0.0355808901519787	0.465310654702513	-0.00640359407764853	0.504012815030127	-0.0117016346817766	0.371569863651633	0.951374347583893	0.248038417318255	-0.267574752399238	0.166978680695747	-0.147927957631293	0.147124027113426
